user_name,leaning
mluethy,REPUBLICAN
JasonMillerinDC,REPUBLICAN
BobCaton,DEMOCRAT
MichaelAYoussef,REPUBLICAN
LiberalEbola,DEMOCRAT
adrianmayer,DEMOCRAT
ddrovetta,REPUBLICAN
sjones524,REPUBLICAN
CFLancop,REPUBLICAN
HHardy1943,DEMOCRAT
innovationohio,DEMOCRAT
GreenPages,DEMOCRAT
genecrawford,REPUBLICAN
mdreps,REPUBLICAN
Leroy_Garcia,DEMOCRAT
Certo_1,REPUBLICAN
DanielGrayton,REPUBLICAN
FreedomBill_CA,REPUBLICAN
billmurphy,REPUBLICAN
tonyalmq,DEMOCRAT
spencerfrye,DEMOCRAT
Greencastlehill,REPUBLICAN
deBlasioNYC,DEMOCRAT
Iservedrinks,DEMOCRAT
repcampbell,DEMOCRAT
deancv1958,DEMOCRAT
GaRepublicans,REPUBLICAN
therealgeekmom,REPUBLICAN
bluebonnetbunny,DEMOCRAT
GLATraining,REPUBLICAN
RoyBluntPress,REPUBLICAN
AFPMissouri,REPUBLICAN
SteveIsraelNY,DEMOCRAT
Mickey_Kearns,DEMOCRAT
KC_Spencer,DEMOCRAT
lizflock,DEMOCRAT
usaforamericans,REPUBLICAN
Hollywooddems,DEMOCRAT
nschim,DEMOCRAT
samkelly16,DEMOCRAT
BNLieb,DEMOCRAT
The_Monarch,REPUBLICAN
kevinbryantsc,REPUBLICAN
musoftolerance,REPUBLICAN
TheresaShamanka,DEMOCRAT
DrTurleyTalks,REPUBLICAN
haroonullah,DEMOCRAT
DeusVultGeorgia,REPUBLICAN
J_Democrates,DEMOCRAT
stevegress19,DEMOCRAT
KingofPolitics,REPUBLICAN
OnMessageInc,REPUBLICAN
ellington_b,DEMOCRAT
masg66,DEMOCRAT
pizzapolitico,REPUBLICAN
rickperryfacts,REPUBLICAN
bradherold,REPUBLICAN
WCrates,REPUBLICAN
Uncle_Jimbo,REPUBLICAN
jonburtonhx,DEMOCRAT
Pissed_Pat,REPUBLICAN
RHamilton542,REPUBLICAN
ObamasMentors,REPUBLICAN
bob4gov_now,DEMOCRAT
Emperor_Bob,DEMOCRAT
CDAY_ED,DEMOCRAT
jamohio9719,REPUBLICAN
CourtneyPagh,REPUBLICAN
OhioDemocracy,DEMOCRAT
DeweyMai,DEMOCRAT
HoustonBarnes,DEMOCRAT
jhayjph,DEMOCRAT
CatoCMFA,REPUBLICAN
1GooDDaDDy_,REPUBLICAN
Phenix2011,DEMOCRAT
keichri,REPUBLICAN
Rainbojangles,DEMOCRAT
SirAlexMurphy,DEMOCRAT
mikelm31,DEMOCRAT
Brumbarger,REPUBLICAN
kerryeroberts,REPUBLICAN
ArizonaAFP,DEMOCRAT
longhawl,REPUBLICAN
Sharon1943,DEMOCRAT
harveypeeler,REPUBLICAN
romaniello_art,DEMOCRAT
aurabogado,DEMOCRAT
jvvish,REPUBLICAN
mptomei,DEMOCRAT
MrTanak,REPUBLICAN
Orwells_Dilemma,REPUBLICAN
dennisroch,REPUBLICAN
wilsonforkansas,DEMOCRAT
yiawda,DEMOCRAT
HarryReid,DEMOCRAT
markwinburn,DEMOCRAT
RandyBrogdon,REPUBLICAN
snkscoyote,DEMOCRAT
MichaelWilliams,REPUBLICAN
RobertSEshelman,DEMOCRAT
cj6444,DEMOCRAT
joekiddone,REPUBLICAN
padresteve,DEMOCRAT
SMacB,REPUBLICAN
ninasophia81,DEMOCRAT
BruceZobel,DEMOCRAT
StarChamberMaid,REPUBLICAN
BrentHBaker,DEMOCRAT
salvvanni,DEMOCRAT
blzrul,DEMOCRAT
debster7301,REPUBLICAN
NJ_Politics,DEMOCRAT
LenKieseTV,REPUBLICAN
danedri,DEMOCRAT
MarkObenshain,REPUBLICAN
virgilfludd,DEMOCRAT
arkg717,DEMOCRAT
cihangirlikedi,REPUBLICAN
iPlusMarketing,DEMOCRAT
FrancoIKU,DEMOCRAT
GeorgiaDemocrat,DEMOCRAT
Wileyatx,REPUBLICAN
TheWhyMovement,DEMOCRAT
KurtRobson101,DEMOCRAT
DougSmithNY,REPUBLICAN
gaywonk,DEMOCRAT
DePasqualePA,DEMOCRAT
Cynlorrine23,DEMOCRAT
DanielSchulman,DEMOCRAT
IDzey,REPUBLICAN
libertycounsel,REPUBLICAN
EverythingNYC,DEMOCRAT
MattDeLucia,DEMOCRAT
cole_samples,REPUBLICAN
CountJamie,REPUBLICAN
Martha4MO,DEMOCRAT
mayoredkoch,DEMOCRAT
ignorancecosts,REPUBLICAN
GodSaveAmerica1,REPUBLICAN
HernanMolinaTV,DEMOCRAT
harleytwtr,DEMOCRAT
mikezagari,DEMOCRAT
MarkAdomanis,DEMOCRAT
RepRichNugent,REPUBLICAN
GPParaz,REPUBLICAN
GoldyHA,DEMOCRAT
zorn17,REPUBLICAN
LisaForKansas,DEMOCRAT
TrucksHorsesDog,REPUBLICAN
OCwebsitegirl,REPUBLICAN
getoffthefence1,DEMOCRAT
ACSpollen,REPUBLICAN
WhitAyres,REPUBLICAN
FredContrada,REPUBLICAN
SeniorChronicle,DEMOCRAT
FlyOSUBuckeye1,REPUBLICAN
LauraCarter,DEMOCRAT
Mark_Penn,DEMOCRAT
POTUS,DEMOCRAT
Twtk818,DEMOCRAT
SenatorOlsen,REPUBLICAN
OrgForAction,DEMOCRAT
UniteUsAll,REPUBLICAN
ProgressKy,DEMOCRAT
robints,REPUBLICAN
Eva4organizing,DEMOCRAT
MayhewFred,DEMOCRAT
WilTal,DEMOCRAT
JeremyOkelley,DEMOCRAT
JewishPress,REPUBLICAN
timmyisanerd,DEMOCRAT
1stLiberty,REPUBLICAN
bobwrightATL,REPUBLICAN
technoobrat,DEMOCRAT
WayneDupreeShow,REPUBLICAN
Tommy_USA,REPUBLICAN
HalFurman,REPUBLICAN
BernieLBJ12,DEMOCRAT
ShaunaDeNada,DEMOCRAT
_heynen,REPUBLICAN
midtownNY,DEMOCRAT
mijoda3,DEMOCRAT
yrhumgasset,REPUBLICAN
yintercept,REPUBLICAN
SenatorSessions,REPUBLICAN
RenkoStyranka,DEMOCRAT
Gunservatively,REPUBLICAN
joshpaul,REPUBLICAN
amandalitman,DEMOCRAT
cyndeZu,DEMOCRAT
Mama4Obama1,REPUBLICAN
wgallagher02,DEMOCRAT
gwenifill,DEMOCRAT
SHannitysHair,REPUBLICAN
JenaPenya,DEMOCRAT
BrianFaughnan,REPUBLICAN
SenMarkoLiias,DEMOCRAT
CoopForCongress,DEMOCRAT
KellyAnneSmith,REPUBLICAN
aspendew,DEMOCRAT
TeamWakeEmUP,REPUBLICAN
ConservtveWoman,REPUBLICAN
DanielCannon,REPUBLICAN
sweeneyman18,REPUBLICAN
Alasscan_,DEMOCRAT
mklanthony,REPUBLICAN
ShaneAHayes,REPUBLICAN
sarahnewton,DEMOCRAT
ReubenIngber,DEMOCRAT
jodyph1,REPUBLICAN
JRBMAY87,DEMOCRAT
PryorForSenate,DEMOCRAT
AlisonSpalding2,DEMOCRAT
uniqueloves,REPUBLICAN
dalkeyhead,REPUBLICAN
ward32chicago,DEMOCRAT
BlumenauerMedia,DEMOCRAT
senatortomdavis,REPUBLICAN
davidfholt,REPUBLICAN
Phil_Mattingly,DEMOCRAT
theprospect,DEMOCRAT
cbsnewsman,DEMOCRAT
OFA_AK,DEMOCRAT
ebenjones,REPUBLICAN
YOGUARD,REPUBLICAN
ParvaSaeua,REPUBLICAN
stevematic,DEMOCRAT
hugh_mcdermott,REPUBLICAN
lynnbaby13,REPUBLICAN
MitchRass,REPUBLICAN
jstineman,REPUBLICAN
moxieu,REPUBLICAN
WaHouseGOP,REPUBLICAN
BillieJeanTV,REPUBLICAN
AssemblymanWiz,DEMOCRAT
wizzardsd,REPUBLICAN
madams104,DEMOCRAT
SenGuzman,DEMOCRAT
konoboe,DEMOCRAT
JodiOchstein,DEMOCRAT
karenaboutgary,DEMOCRAT
AnnLWagner,REPUBLICAN
Caveman2743,DEMOCRAT
ageistewart,REPUBLICAN
W_Paul_Williams,REPUBLICAN
MikeMunzing,REPUBLICAN
KenandJudyCrb,REPUBLICAN
ThaiKhuFah,DEMOCRAT
tgriffinnc,REPUBLICAN
bbkenn92,DEMOCRAT
RepSchweyer,DEMOCRAT
effs,REPUBLICAN
Derameth,REPUBLICAN
riley1999,REPUBLICAN
brittmce,DEMOCRAT
japerez53,REPUBLICAN
CarrollDems,DEMOCRAT
nathanbarankin,DEMOCRAT
eximexposed,REPUBLICAN
PaulFerro,REPUBLICAN
hippership,REPUBLICAN
TonyDijamco,REPUBLICAN
asskickymchotti,REPUBLICAN
OFA_TX,DEMOCRAT
zarahti,DEMOCRAT
NotOne2bPC,REPUBLICAN
CookCountyBoard,DEMOCRAT
FlexYourRights,REPUBLICAN
ChrissyKohler,REPUBLICAN
Angelemichelle,REPUBLICAN
KiloMick,REPUBLICAN
IsabelFramer,DEMOCRAT
RickWeilandTIB,DEMOCRAT
Abq01,DEMOCRAT
caffeinehusky,DEMOCRAT
johnleesandiego,DEMOCRAT
Alex_Cornell,DEMOCRAT
FrybreadSoldier,DEMOCRAT
CMKoslowitz,DEMOCRAT
colavs2184,REPUBLICAN
ComptrolLembo,DEMOCRAT
RepJAnderson,DEMOCRAT
AZProgressives,DEMOCRAT
plynch1036,DEMOCRAT
ChuckKos20,DEMOCRAT
bjpaddy,DEMOCRAT
fedor4pa,DEMOCRAT
JohnAtlanta,DEMOCRAT
ThomasMassieKY,REPUBLICAN
ProseAndThorn,DEMOCRAT
SecTreHargett,REPUBLICAN
bhangyoungmoon,DEMOCRAT
smartbloger,REPUBLICAN
GUSMAR80,DEMOCRAT
BeingLiberal,DEMOCRAT
AltConservative,REPUBLICAN
MisterFreedom,REPUBLICAN
Abramson44,REPUBLICAN
sandrablue925,DEMOCRAT
VanityBonet,REPUBLICAN
marcywinograd,DEMOCRAT
ObermuellerMike,DEMOCRAT
FreedomChild3,REPUBLICAN
da66y,DEMOCRAT
JanetrhH,DEMOCRAT
AuditorSchweich,REPUBLICAN
Tarynfc,REPUBLICAN
oliviadiaz,DEMOCRAT
denisemourges,DEMOCRAT
DanaHoule,DEMOCRAT
dalybrandon,REPUBLICAN
SenFraser,REPUBLICAN
mattklapper,DEMOCRAT
jena3307,DEMOCRAT
cjolds,REPUBLICAN
FFloodgates,REPUBLICAN
Jimmibabe,DEMOCRAT
ramona_davis,DEMOCRAT
AngieGutenson,REPUBLICAN
1hot50yrold,REPUBLICAN
MLAS,REPUBLICAN
ajain31,DEMOCRAT
teambrewer,REPUBLICAN
InequalityIsBad,DEMOCRAT
TNTweetersFL,DEMOCRAT
RandyHuntCPA,REPUBLICAN
BrianHDarling,REPUBLICAN
AndersonDrew,DEMOCRAT
RobertSarvisVA,REPUBLICAN
BailoutU,DEMOCRAT
DestiGrace1,DEMOCRAT
renmicpa,DEMOCRAT
RepCummings,DEMOCRAT
JLTouadi,DEMOCRAT
PalmettoScoop,REPUBLICAN
mediachristian4,DEMOCRAT
MorganMcGarvey,DEMOCRAT
KH12_Keyhole,REPUBLICAN
KarlQuick,REPUBLICAN
karmacamilleon1,REPUBLICAN
JohnOceguera,DEMOCRAT
tafkam08,REPUBLICAN
Millerita,REPUBLICAN
taxreformer,REPUBLICAN
OllyGrender,DEMOCRAT
KristinPHill,REPUBLICAN
Leslie_H20,REPUBLICAN
masoudkr,DEMOCRAT
BenManski,DEMOCRAT
timothy_burns,REPUBLICAN
wikiworf,REPUBLICAN
PughForMayor,DEMOCRAT
DiffuserBeads,DEMOCRAT
YellowFringeUS,DEMOCRAT
GreekVikingX,DEMOCRAT
48thAve,DEMOCRAT
NoHolidayforGOP,DEMOCRAT
ACLUNJ,DEMOCRAT
Burkealurk,REPUBLICAN
SSCJoCoKs,REPUBLICAN
DelMaryW,DEMOCRAT
chasbtid47,DEMOCRAT
OwenBrennan,REPUBLICAN
bfgpollara,DEMOCRAT
liberalgirl4,DEMOCRAT
TwistedinGa,REPUBLICAN
MayorOLeary,DEMOCRAT
ericdchristen,REPUBLICAN
TPInsidr,REPUBLICAN
7kidchaos,REPUBLICAN
jeffunderwood71,REPUBLICAN
SusanVigilante,REPUBLICAN
aldenrosbrook,DEMOCRAT
HillmanArk,DEMOCRAT
RogerWilliamsLD,DEMOCRAT
PsychicRadio,REPUBLICAN
bamagirl0117,REPUBLICAN
Frappingline,REPUBLICAN
IzardSteve,REPUBLICAN
debrain3d,REPUBLICAN
MiracleMileDems,DEMOCRAT
V1ct0rCR0cc0,DEMOCRAT
abelherrero,DEMOCRAT
cosmoweb,DEMOCRAT
AMPerRage,REPUBLICAN
chrisworthy,REPUBLICAN
ToiHutchinson,DEMOCRAT
Moazzam_Begg,DEMOCRAT
pashbrooke,REPUBLICAN
5000YrLeap,REPUBLICAN
ShannonRitenour,DEMOCRAT
objectivetruths,REPUBLICAN
rtinaz,REPUBLICAN
AmyMac418,REPUBLICAN
Hot_Liberals,DEMOCRAT
skeptishrink,DEMOCRAT
PAHDCC,DEMOCRAT
Telethonitalia,DEMOCRAT
dennisdaugaard,REPUBLICAN
Watchdogsniffer,DEMOCRAT
conorjrogers,REPUBLICAN
Karey1975,REPUBLICAN
ABiCduckie,REPUBLICAN
custhyabusa,REPUBLICAN
nc2fl2011,REPUBLICAN
cindyscott54,DEMOCRAT
celticselky,REPUBLICAN
aaronmelton,REPUBLICAN
RadioFreeUnite,REPUBLICAN
HistoryofMatt,REPUBLICAN
Twitsler,REPUBLICAN
KieranLalor,REPUBLICAN
susanbrandon96,DEMOCRAT
FreelanceLance,REPUBLICAN
gomyd,DEMOCRAT
TexasYRs,REPUBLICAN
firefighter9228,DEMOCRAT
cindypope,DEMOCRAT
kevinholtsberry,REPUBLICAN
Williams64K,DEMOCRAT
debaser,REPUBLICAN
Smartypants60,DEMOCRAT
MicObamaFans,DEMOCRAT
chrisjohnson82,DEMOCRAT
Hipster__Bunny,REPUBLICAN
GlenWoodfin,REPUBLICAN
miss_s_b,DEMOCRAT
suesista,DEMOCRAT
tedceleste,DEMOCRAT
nmhunter1,REPUBLICAN
rockynickydog,DEMOCRAT
Pashavermin,REPUBLICAN
mmahathy,REPUBLICAN
GodsWordisTruth,REPUBLICAN
SabeerAbdulla,DEMOCRAT
CounsellJake,DEMOCRAT
TCDP,DEMOCRAT
LibDems,DEMOCRAT
ObaSchor,DEMOCRAT
roddyoyoung,REPUBLICAN
DomStampone,DEMOCRAT
colorpoetry,DEMOCRAT
pfoltzed,DEMOCRAT
allen_alley,REPUBLICAN
JsusanT,DEMOCRAT
tnsenate,REPUBLICAN
VJensenSenate,DEMOCRAT
mikeylangrehr,DEMOCRAT
mradamtaylor,DEMOCRAT
AldTomTunney,DEMOCRAT
PeopleYouNeed,REPUBLICAN
DavidGowanAZ,REPUBLICAN
OneNubianGurl,DEMOCRAT
TFRW,REPUBLICAN
ArmedCitizensU,DEMOCRAT
Kriseman,DEMOCRAT
politicsiswar,REPUBLICAN
CUMoveYourMoney,DEMOCRAT
LouisianaYRs,REPUBLICAN
CyndeeG36,DEMOCRAT
TheAnt2,DEMOCRAT
RepLindaSanchez,DEMOCRAT
MayhemV,DEMOCRAT
asmMelendez,REPUBLICAN
nilereflection,DEMOCRAT
irf01,REPUBLICAN
proudliberal305,DEMOCRAT
christopherguz,REPUBLICAN
DeesSteve,REPUBLICAN
Cocacy,DEMOCRAT
noBushNoHiliary,REPUBLICAN
Ma1973sk,DEMOCRAT
RealDwneastDiva,DEMOCRAT
vicstev,DEMOCRAT
WomenGunOwners,REPUBLICAN
L_EdwinSaar,DEMOCRAT
starlightcrow,REPUBLICAN
frankdemartini,REPUBLICAN
CLievsay,REPUBLICAN
scaruso5555,DEMOCRAT
KLSouth,DEMOCRAT
KitzmillerLee,REPUBLICAN
FullFathomFive1,DEMOCRAT
LatinoTownhall,DEMOCRAT
cplankey,REPUBLICAN
RodneyRHubbard,DEMOCRAT
JasonLowenthal,DEMOCRAT
KeithJFrederick,REPUBLICAN
RootsofLiberty,REPUBLICAN
lamproce,DEMOCRAT
SenatorHensley,DEMOCRAT
leloneUW_FL,DEMOCRAT
Jayne720,REPUBLICAN
GodRevealed,REPUBLICAN
madeUlookhuh,DEMOCRAT
TaylorBiehl,REPUBLICAN
harris4assembly,DEMOCRAT
phonemanA,REPUBLICAN
TigCook,REPUBLICAN
EglantinaZingg,DEMOCRAT
Sarah_Swinehart,REPUBLICAN
wilsonchris,DEMOCRAT
annacwills,REPUBLICAN
JimW_in_NM,REPUBLICAN
mediapolitic,DEMOCRAT
GBarton53smokey,DEMOCRAT
Vamike57,DEMOCRAT
EdDietrich,DEMOCRAT
RNCResearch,REPUBLICAN
DemConvention,DEMOCRAT
Alexandrea_Grif,REPUBLICAN
marthaHigh,DEMOCRAT
LeisureHuman,REPUBLICAN
mngop,REPUBLICAN
TorcerT,REPUBLICAN
Shea7Shea,DEMOCRAT
PeterLaBarbera,REPUBLICAN
txgirl1963,DEMOCRAT
hannahkauthor,REPUBLICAN
nedryun,REPUBLICAN
nainkataryy,DEMOCRAT
richferrer,REPUBLICAN
puxxled,DEMOCRAT
SmartpplMatter2,REPUBLICAN
lfeatherstone,DEMOCRAT
hhj2929,DEMOCRAT
HealHealthcare,DEMOCRAT
SouthMeetsWest,REPUBLICAN
JacobHummel,DEMOCRAT
WaltLeger,DEMOCRAT
ralphb47,DEMOCRAT
ConservativeLA,REPUBLICAN
GerryConnolly,DEMOCRAT
MarcSteinorth,REPUBLICAN
MikeVee5,REPUBLICAN
nancykmareka,DEMOCRAT
schoolchoicewk,DEMOCRAT
delterrykilgore,REPUBLICAN
ErikPolitx,DEMOCRAT
senatorlibous,REPUBLICAN
KaninPruter,DEMOCRAT
Moperfectunion,DEMOCRAT
corgusa,REPUBLICAN
GregWorzel,REPUBLICAN
vaughnross,DEMOCRAT
anamariecox,DEMOCRAT
dijames1145,DEMOCRAT
johnmcdonald108,DEMOCRAT
CJMarsicano,DEMOCRAT
EdEspinoza,DEMOCRAT
norwind,DEMOCRAT
David_J_R,REPUBLICAN
_ThePRC,REPUBLICAN
Sleepyjoe55,REPUBLICAN
joepojman,REPUBLICAN
CosCatCurtisPA,DEMOCRAT
AfricanPrincess,REPUBLICAN
Politix_Junkie,REPUBLICAN
PrgrsvArchitect,DEMOCRAT
SheldonCoraRoth,DEMOCRAT
spacebarpress,REPUBLICAN
SenatorAument,REPUBLICAN
JGolden5,DEMOCRAT
ejc8713,DEMOCRAT
EricAmey2,REPUBLICAN
deborahbarlow,DEMOCRAT
concerned_man13,REPUBLICAN
dancurry,REPUBLICAN
RepAlPscholka,REPUBLICAN
Girl__III,DEMOCRAT
wbruce44,DEMOCRAT
RSLC_President,REPUBLICAN
Momisbuff,REPUBLICAN
MNSteveSimon,DEMOCRAT
wayneradcliffe,DEMOCRAT
AFSCMEMN5,DEMOCRAT
voces_milwaukee,DEMOCRAT
grandmatobe,REPUBLICAN
mike_reitz,REPUBLICAN
cbyteme,REPUBLICAN
blackbeltncrazy,REPUBLICAN
iarephine,DEMOCRAT
igorvolsky,DEMOCRAT
MossyWill66,REPUBLICAN
Clibux,REPUBLICAN
GordonHewitt2,REPUBLICAN
MagandaWright,DEMOCRAT
dthornell,DEMOCRAT
Campbellwil,REPUBLICAN
sridleythomas,DEMOCRAT
highbear1,DEMOCRAT
RudyCordovaJr,REPUBLICAN
USChamber,REPUBLICAN
PinkUSADreamer,REPUBLICAN
CM_RubenWills,DEMOCRAT
madelinerogero,DEMOCRAT
SuzanneMalveaux,DEMOCRAT
WayneBogda,REPUBLICAN
colbyhall,DEMOCRAT
Jesse_sDad,REPUBLICAN
AllModConz,DEMOCRAT
RepGrothman,REPUBLICAN
MasterGuns1313,REPUBLICAN
jackmcoldcuts,REPUBLICAN
IllinoisEric89,REPUBLICAN
MattyIceAZ,DEMOCRAT
sdm007s,DEMOCRAT
ReaganWorld,DEMOCRAT
RisingHegemon,DEMOCRAT
Bvweir,DEMOCRAT
blackmagpie69,DEMOCRAT
BMJT43,DEMOCRAT
WilliamStueve,DEMOCRAT
dccc,DEMOCRAT
aliflorida,DEMOCRAT
MikeDuHaime,REPUBLICAN
mannymr,DEMOCRAT
TORARADICAL,REPUBLICAN
helloitsliam,REPUBLICAN
jmcaninch68,DEMOCRAT
JohnWalsh,DEMOCRAT
GOPSenFinance,REPUBLICAN
Dbargen,REPUBLICAN
lynettewilson07,DEMOCRAT
TheAtlasProject,DEMOCRAT
JanC60,REPUBLICAN
AnnLynnLiedholm,DEMOCRAT
MarshaHaefner,REPUBLICAN
MarkWeprin,DEMOCRAT
jamisonfoser,DEMOCRAT
lancereads,REPUBLICAN
Mollie216,REPUBLICAN
RogerJStoneJr,REPUBLICAN
BverInFL,DEMOCRAT
Scott_SmithAZ,REPUBLICAN
bighockey74,REPUBLICAN
ReIatableFemaIe,REPUBLICAN
KnottyMary,DEMOCRAT
probizpolitics,REPUBLICAN
IPI,REPUBLICAN
Fingersflying,REPUBLICAN
SenLisaBaker,REPUBLICAN
ldjranch,REPUBLICAN
chuckmcilhinney,REPUBLICAN
calebcorrell,DEMOCRAT
darinbushman,REPUBLICAN
operationworld,REPUBLICAN
E_Wall,REPUBLICAN
elvislver56,DEMOCRAT
KSoltisAnderson,REPUBLICAN
KeelingOHIO,REPUBLICAN
Tacticalblur,REPUBLICAN
OregonCounsel,REPUBLICAN
